Cre01.g000050	AT4G35590
Cre01.g023850	*
Cre01.g023900	*
Cre01.g023913	*
Cre01.g023950	*
Cre01.g024000	*
Cre01.g024050	*
Cre01.g024100	*
Cre01.g024150	*
Cre01.g024200	AT1G71800
Cre01.g024250	*
Cre01.g024251	AT1G32490
Cre01.g024300	AT1G48790
Cre01.g024350	AT2G01970
Cre01.g024400	AT5G16280
Cre01.g024500	*
Cre01.g024550	AT1G08720
Cre01.g024650	AT1G18160
Cre01.g024750	AT1G18160
Cre01.g024800	AT1G18160
Cre01.g024850	AT5G03455
Cre01.g024900	AT1G21320
Cre01.g024950	AT5G21080
Cre01.g025000	*
Cre01.g025024	*
Cre01.g025050	AT4G32890
Cre01.g025100	AT2G33255
Cre01.g025150	AT5G17670
Cre01.g025200	*
Cre01.g025250	AT4G21470
Cre01.g025300	AT2G28560
Cre01.g025350	*
Cre01.g025400	*
Cre01.g025450	*
Cre01.g025500	AT5G37590
Cre01.g025550	*
Cre01.g025600	*
Cre01.g025650	*
Cre01.g025700	*
Cre01.g025750	*
Cre01.g025767	*
Cre01.g025800	*
Cre01.g025850	AT1G14520
Cre01.g025900	AT5G08710
Cre01.g025950	AT4G31850
Cre01.g026050	*
Cre01.g026150	*
Cre01.g026200	AT4G37380
Cre01.g026250	AT5G08370
Cre01.g026300	AT1G18260
Cre01.g026350	*
Cre01.g026400	AT5G35730
Cre01.g026450	AT1G02840
Cre01.g026500	AT5G43100
Cre01.g026550	AT3G11830
Cre01.g026600	AT1G16890
Cre01.g026650	AT5G03430
Cre01.g026700	*
Cre01.g026750	*
Cre01.g026800	*
Cre01.g026850	*
Cre01.g026900	AT2G29720
Cre01.g026950	*
Cre01.g027000	AT2G42740
Cre01.g027050	*
Cre01.g027100	AT3G08980
Cre01.g027150	AT1G70070
Cre01.g027200	AT1G63800
Cre01.g027250	*
Cre01.g027300	*
Cre01.g027350	AT4G17610
Cre01.g027400	*
Cre01.g027500	*
Cre01.g027600	*
Cre01.g027650	*
Cre01.g027700	*
Cre01.g027750	*
Cre01.g027764	AT5G52450
Cre01.g027800	AT3G42050
Cre01.g027850	AT4G18810
Cre01.g027900	AT5G42560
Cre01.g027950	*
Cre01.g028000	*
Cre01.g028050	*
Cre01.g028100	*
Cre01.g028150	AT1G76060
Cre01.g028200	AT1G55150
Cre01.g028250	AT1G18360
Cre01.g028300	*
Cre01.g028350	AT5G39830
Cre01.g028400	*
Cre01.g028423	AT2G20340
Cre01.g028500	AT5G57460
Cre01.g028550	AT3G62940
Cre01.g028600	AT2G29290
Cre01.g028650	*
Cre01.g028777	*
Cre01.g028850	*
Cre01.g028900	*
Cre01.g028950	*
Cre01.g029000	AT1G48600
Cre01.g029050	AT1G61150
Cre01.g029100	AT3G12530
Cre01.g029150	AT5G22320
Cre01.g029200	AT4G22970
Cre01.g029250	*
Cre01.g029300	AT2G21170
Cre01.g029350	*
Cre01.g029400	*
Cre01.g029450	AT3G28730
Cre01.g029500	AT3G45240
Cre01.g029550	*
Cre01.g029600	AT4G26740
Cre01.g029650	AT2G17790
Cre01.g029700	*
Cre01.g029750	AT5G26667
Cre01.g029800	*
Cre01.g029850	AT1G30640
Cre01.g029900	AT3G55090
Cre01.g029950	*
Cre01.g030050	AT1G29070
Cre01.g030150	AT2G40550
Cre01.g030200	AT1G79630
Cre01.g030250	AT5G63980
Cre01.g030300	AT5G12170
Cre01.g030350	AT4G04330
Cre01.g030400	*
Cre01.g030450	AT3G49600
Cre01.g030500	*
Cre01.g030550	AT1G04850
Cre01.g030600	AT3G63260
Cre01.g030650	AT5G24850
Cre01.g030750	*
Cre01.g030800	AT2G26990
Cre01.g030850	AT5G66140
Cre01.g030900	AT1G30520
Cre01.g030950	AT4G34412
Cre01.g031050	AT4G08350
Cre01.g031100	AT1G55480
Cre01.g031250	AT2G20940
Cre01.g031300	AT5G04870
Cre01.g031350	*
Cre01.g031400	*
Cre01.g031450	*
Cre01.g031500	AT4G39830
Cre01.g031550	*
Cre01.g031600	AT2G19350
Cre01.g031650	AT4G37690
Cre01.g031700	*
Cre01.g031750	AT5G41190
Cre01.g031800	*
Cre01.g031850	AT3G26115
Cre01.g031900	*
Cre01.g031950	*
Cre01.g032000	AT5G19330
Cre01.g032050	AT2G02810
Cre01.g032100	AT1G27840
Cre01.g032150	AT3G49660
Cre01.g032200	*
Cre01.g032250	AT4G02720
Cre01.g032300	AT2G36660
Cre01.g032350	AT4G06676
Cre01.g032400	*
Cre01.g032450	*
Cre01.g032500	AT5G03160
Cre01.g032550	AT1G77600
Cre01.g032600	AT5G13500
Cre01.g032650	AT1G12230
Cre01.g032700	*
Cre01.g032750	AT4G13200
Cre01.g032800	AT5G64560
Cre01.g032900	*
Cre01.g032950	*
Cre01.g033000	*
Cre01.g033050	AT1G43580
Cre01.g033150	AT1G70480
Cre01.g033200	*
Cre01.g033250	*
Cre01.g033300	AT3G62730
Cre01.g033350	AT3G66658
Cre01.g033400	AT3G46560
Cre01.g033450	*
Cre01.g033500	*
Cre01.g033524	AT3G54970
Cre01.g033700	AT2G34090
Cre01.g033750	*
Cre01.g033763	AT3G54970
Cre01.g033950	AT3G15140
Cre01.g034000	AT5G53480
Cre01.g034050	AT1G77670
Cre01.g034150	AT1G14660
Cre01.g034200	*
Cre01.g034250	*
Cre01.g034300	*
Cre01.g034342	*
Cre01.g034350	AT5G02320
Cre01.g034380	AT1G70650
Cre01.g034400	AT5G24400
Cre01.g034550	*
Cre01.g034600	AT3G09080
Cre01.g034650	AT1G06590
Cre01.g034700	*
Cre01.g034750	*
Cre01.g034800	AT3G49790
Cre01.g034900	AT2G38910
Cre01.g034950	AT3G54540
Cre01.g035000	AT4G18905
Cre01.g035100	*
Cre01.g035150	AT3G19360
Cre01.g035200	AT3G56930
Cre01.g035250	*
Cre01.g035300	AT2G27450
Cre01.g035350	AT3G45770
Cre01.g035450	AT1G03070
Cre01.g035500	AT1G60490
Cre01.g035550	*
Cre01.g035600	AT4G00290
Cre01.g035650	*
Cre01.g035700	*
Cre01.g035750	AT4G00290
Cre01.g035800	*
Cre01.g035850	AT3G44340
Cre01.g036000	AT1G76040
Cre01.g036050	AT4G09140
Cre01.g036100	AT3G27640
Cre01.g036150	AT5G44090
Cre01.g036200	AT4G16580
Cre01.g036250	AT5G39440
Cre01.g036300	AT2G24640
Cre01.g036350	AT5G57110
Cre01.g036400	AT3G03330
Cre01.g036500	*
Cre01.g036550	AT1G12340
Cre01.g036600	AT5G67240
Cre01.g036650	AT3G53930
Cre01.g036700	AT1G54960
Cre01.g036750	AT3G13440
Cre01.g036800	AT2G28620
Cre01.g036850	AT5G38710
Cre01.g036900	AT5G49470
Cre01.g036950	*
Cre01.g037000	AT3G10410
Cre01.g037050	*
Cre01.g037100	AT5G24430
Cre01.g037150	AT4G35440
Cre01.g037250	*
Cre01.g037300	*
Cre01.g037350	AT2G30720
Cre01.g037400	AT5G58710
Cre01.g037450	*
Cre01.g037500	AT1G55060
Cre01.g037550	*
Cre01.g037600	*
Cre01.g037650	AT3G25545
Cre01.g037700	AT2G46210
Cre01.g037750	*
Cre01.g037800	AT2G18990
Cre01.g037850	AT3G15690
Cre01.g037900	AT4G37020
Cre01.g037950	*
Cre01.g038000	AT3G59410
Cre01.g038050	AT2G17820
Cre01.g038100	AT2G45870
Cre01.g038150	AT1G05910
Cre01.g038200	*
Cre01.g038250	AT1G43710
Cre01.g038300	*
Cre01.g038350	*
Cre01.g038400	AT1G09210
Cre01.g038450	*
Cre01.g038500	AT1G31800
Cre01.g038550	AT5G01220
Cre01.g038600	AT3G11170
Cre01.g038650	AT3G13570
Cre01.g038700	AT5G26240
Cre01.g038750	*
Cre01.g038800	AT5G18290
Cre01.g038850	AT4G34110
Cre01.g038900	AT1G73480
Cre01.g038950	AT1G05720
Cre01.g039000	*
Cre01.g039050	*
Cre01.g039100	*
Cre01.g039150	AT2G47840
Cre01.g039200	AT4G09720
Cre01.g039300	AT4G34110
Cre01.g039350	AT4G24520
Cre01.g039400	AT1G80280
Cre01.g039450	*
Cre01.g039500	AT5G16750
Cre01.g039550	AT2G46910
Cre01.g039600	AT1G79190
Cre01.g039650	AT5G14660
Cre01.g039750	AT5G14660
Cre01.g039800	*
Cre01.g039850	AT1G50575
Cre01.g039900	AT3G16260
Cre01.g039950	AT5G50520
Cre01.g040000	AT3G49910
Cre01.g040050	AT1G02880
Cre01.g040100	AT1G03250
Cre01.g040150	AT1G64630
Cre01.g040200	AT5G41990
Cre01.g040250	AT1G65280
Cre01.g040300	AT3G62000
Cre01.g040350	AT5G54090
Cre01.g040379	AT5G47010
Cre01.g040400	*
Cre01.g040450	AT1G03430
Cre01.g040500	AT3G48070
Cre01.g040550	*
Cre01.g040600	*
Cre01.g040650	*
Cre01.g040700	*
Cre01.g040750	*
Cre01.g040800	*
Cre01.g040850	*
Cre01.g040900	*
Cre01.g040950	*
Cre01.g041050	AT4G21120
Cre01.g041100	AT3G21820
Cre01.g041150	*
Cre01.g041200	*
Cre01.g041256	*
Cre01.g041300	AT5G02410
Cre01.g041350	AT5G08320
Cre01.g041400	*
Cre01.g041450	AT2G20050
Cre01.g041500	*
Cre01.g041650	*
Cre01.g041700	*
Cre01.g041800	AT5G51800
Cre01.g041850	*
Cre01.g041900	AT5G51170
Cre01.g041950	*
Cre01.g042000	*
Cre01.g042050	AT1G53670
Cre01.g042100	*
Cre01.g042150	AT2G36305
Cre01.g042200	*
Cre01.g042250	*
Cre01.g042300	*
Cre01.g042450	*
Cre01.g042550	AT5G11560
Cre01.g042700	*
Cre01.g042750	AT4G26970
Cre01.g042800	AT5G18660
Cre01.g042850	AT3G48890
Cre01.g042900	AT2G47420
Cre01.g042950	AT1G36980
Cre01.g043000	AT2G39670
Cre01.g043050	AT1G22850
Cre01.g043100	AT1G21065
Cre01.g043150	AT4G36730
Cre01.g043200	AT3G50685
Cre01.g043250	*
Cre01.g043300	*
Cre01.g043350	AT1G44446
Cre01.g043400	AT5G59210
Cre01.g043450	*
Cre01.g043500	AT4G35910
Cre01.g043550	AT1G27370
Cre01.g043600	*
Cre01.g043650	AT4G03260
Cre01.g043700	AT4G37190
Cre01.g043750	*
Cre01.g043800	*
Cre01.g043850	AT5G49470
Cre01.g043950	*
Cre01.g044000	AT5G37055
Cre01.g044050	AT5G55290
Cre01.g044100	AT2G32290
Cre01.g044150	AT2G21070
Cre01.g044200	*
Cre01.g044250	AT4G37010
Cre01.g044300	*
Cre01.g044350	*
Cre01.g044400	*
Cre01.g044450	*
Cre01.g044550	*
Cre01.g044600	AT1G20080
Cre01.g044650	AT1G20080
Cre01.g044700	AT5G16710
Cre01.g044750	*
Cre01.g044800	*
Cre01.g044850	AT5G23110
Cre01.g044900	*
Cre01.g044950	*
Cre01.g045000	AT4G31470
Cre01.g045050	*
Cre01.g045100	*
Cre01.g045150	*
Cre01.g045200	AT3G25770
Cre01.g045350	AT1G10510
Cre01.g045400	*
Cre01.g045450	*
Cre01.g045500	*
Cre01.g045550	AT5G46110
Cre01.g045600	AT1G50240
Cre01.g045601	*
Cre01.g045640	AT4G28706
Cre01.g045650	AT2G24860
Cre01.g045700	AT4G35970
Cre01.g045800	*
Cre01.g045850	*
Cre01.g045950	*
Cre01.g046150	AT1G09300
Cre01.g046450	*
Cre01.g046600	*
Cre01.g046650	*
Cre01.g046850	AT5G50870
Cre01.g046950	*
Cre01.g047000	*
Cre01.g047050	*
Cre01.g047218	AT1G16320
Cre01.g047229	AT5G06830
Cre01.g047300	*
Cre01.g047350	*
Cre01.g047400	*
Cre01.g047450	AT3G57810
Cre01.g047500	AT3G26500
Cre01.g047550	AT2G44610
Cre01.g047600	AT1G24360
Cre01.g047650	AT4G15475
Cre01.g047700	AT2G15790
Cre01.g047750	AT2G34480
Cre01.g047800	AT2G38270
Cre01.g047850	AT1G77670
Cre01.g047900	AT5G18580
Cre01.g047950	AT3G12160
Cre01.g048000	AT1G03290
Cre01.g048050	AT5G02080
Cre01.g048100	*
Cre01.g048102	*
Cre01.g048150	AT2G40410
Cre01.g048200	AT5G47010
Cre01.g048250	*
Cre01.g048300	*
Cre01.g048350	AT4G28320
Cre01.g048400	*
Cre01.g048450	*
Cre01.g048500	AT1G01640
Cre01.g048550	*
Cre01.g048600	AT2G39910
Cre01.g048650	AT5G12180
Cre01.g048750	AT1G63230
Cre01.g048800	*
Cre01.g048850	AT3G61740
Cre01.g048900	AT3G01770
Cre01.g048950	AT3G54470
Cre01.g049000	AT5G51110
Cre01.g049050	AT3G27050
Cre01.g049100	AT3G14590
Cre01.g049132	AT2G44900
Cre01.g049200	AT2G19990
Cre01.g049300	*
Cre01.g049350	AT5G05740
Cre01.g049400	AT1G04945
Cre01.g049450	AT3G51610
Cre01.g049550	AT4G11790
Cre01.g049600	AT2G31040
Cre01.g049650	AT1G12430
Cre01.g049750	AT5G59500
Cre01.g049900	AT2G43235
Cre01.g049950	*
Cre01.g050000	AT2G32380
Cre01.g050050	AT5G65860
Cre01.g050100	AT3G14390
Cre01.g050150	AT1G09400
Cre01.g050200	*
Cre01.g050300	*
Cre01.g050308	AT2G43030
Cre01.g050350	AT3G58460
Cre01.g050400	AT5G55510
Cre01.g050450	AT1G77550
Cre01.g050500	AT3G04760
Cre01.g050550	AT5G51720
Cre01.g050600	AT4G09980
Cre01.g050650	*
Cre01.g050700	*
Cre01.g050750	*
Cre01.g050800	*
Cre01.g050850	AT2G27210
Cre01.g050900	*
Cre01.g050950	AT1G74470
Cre01.g051000	AT4G29510
Cre01.g051050	AT4G04740
Cre01.g051100	AT1G77180
Cre01.g051150	*
Cre01.g051250	AT5G37780
Cre01.g051300	*
Cre01.g051350	*
Cre01.g051400	AT3G25040
Cre01.g051450	AT1G75060
Cre01.g051461	*
Cre01.g051500	*
Cre01.g051550	AT3G26560
Cre01.g051600	*
Cre01.g051700	AT1G04790
Cre01.g051750	*
Cre01.g051800	AT1G80360
Cre01.g051850	*
Cre01.g051885	*
Cre01.g051900	AT5G13440
Cre01.g051950	AT5G43100
Cre01.g052000	AT1G26520
Cre01.g052050	AT5G51220
Cre01.g052100	AT1G48350
Cre01.g052150	AT5G14230
Cre01.g052200	AT5G38720
Cre01.g052250	AT1G50320
Cre01.g052300	AT5G22220
Cre01.g052350	AT1G16740
Cre01.g052400	AT5G36120
Cre01.g052500	*
Cre01.g052550	AT4G24560
Cre01.g052650	AT3G01310
Cre01.g052750	*
Cre01.g052800	AT5G64960
Cre01.g052850	AT3G14720
Cre01.g052950	AT1G19025
Cre01.g053000	AT5G40610
Cre01.g053050	*
Cre01.g053150	AT5G40610
Cre01.g053200	AT5G15170
Cre01.g053250	AT1G79350
Cre01.g053288	AT5G22100
Cre01.g053300	AT5G08170
Cre01.g053350	*
Cre01.g053360	AT1G10510
Cre01.g053450	*
Cre01.g053500	AT3G12070
Cre01.g053550	*
Cre01.g053600	AT5G40950
Cre01.g053700	AT3G02850
Cre01.g053750	AT3G29010
Cre01.g053800	*
Cre01.g053850	AT5G52250
Cre01.g053950	*
Cre01.g054000	AT1G63980
Cre01.g054050	*
Cre01.g054100	AT3G15410
Cre01.g054150	AT2G41680
Cre01.g054200	*
Cre01.g054250	AT2G26170
Cre01.g054300	*
Cre01.g054350	*
Cre01.g054400	*
Cre01.g054500	*
Cre01.g054550	*
Cre01.g054600	*
Cre01.g054650	AT4G26980
Cre01.g054700	*
Cre01.g054750	AT4G04740
Cre01.g054800	AT3G62010
Cre01.g054850	*
Cre01.g054900	*
Cre01.g054950	*
Cre01.g055000	*
Cre01.g055050	AT5G60190
Cre01.g055100	*
Cre01.g055150	*
Cre01.g055200	AT4G00850
Cre01.g055250	*
Cre01.g055314	*
Cre01.g055350	*
Cre01.g055400	AT5G57120
Cre01.g055450	*
Cre01.g055500	*
Cre01.g055550	AT1G02410
Cre02.g073150	*
Cre02.g073200	AT3G10050
Cre02.g073250	AT5G25520
Cre02.g073300	AT5G51540
Cre02.g073350	*
Cre02.g073400	AT5G51540
Cre02.g073450	*
Cre02.g073500	*
Cre02.g073550	AT4G26110
Cre02.g073600	*
Cre02.g073650	AT2G33340
Cre02.g073700	AT2G40490
Cre02.g073750	AT1G59540
Cre02.g073800	AT5G67490
Cre02.g073850	AT1G05385
Cre02.g073900	AT4G32810
Cre02.g073950	AT4G32810
Cre02.g074000	AT5G66030
Cre02.g074050	AT1G16560
Cre02.g074100	AT5G42070
Cre02.g074150	AT2G17820
Cre02.g074200	*
Cre02.g074217	*
Cre02.g074250	*
Cre02.g074300	AT4G27010
Cre02.g074350	*
Cre02.g074370	AT5G12180
Cre02.g074400	*
Cre02.g074450	AT2G25970
Cre02.g074550	*
